count,Interest Level,,
2561,0,28.5%,28.5%
2107,1,23.5%,52.0%
974,2,10.9%,62.9%
485,3,5.4%,68.3%
330,4,3.7%,72.0%
121,5,1.3%,73.3%
82,6,0.9%,74.2%
49,7,0.5%,74.8%
58,8,0.6%,75.4%
28,9,0.3%,75.7%
18,10,0.2%,75.9%
42,11,0.5%,76.4%
51,12,0.6%,77.0%
1,13,0.0%,77.0%
8,14,0.1%,77.1%
18,15,0.2%,77.3%
45,17,0.5%,77.8%
1,18,0.0%,77.8%
5,22,0.1%,77.8%
3,24,0.0%,77.9%
7,25,0.1%,77.9%
10,27,0.1%,78.0%
16,31,0.2%,78.2%
28,33,0.3%,78.5%
4,34,0.0%,78.6%
1,42,0.0%,78.6%
38,44,0.4%,79.0%
12,48,0.1%,79.2%
2,51,0.0%,79.2%
7,52,0.1%,79.3%
9,69,0.1%,79.4%
18,71,0.2%,79.6%
21,72,0.2%,79.8%
16,73,0.2%,80.0%
16,79,0.2%,80.1%
16,84,0.2%,80.3%
2,89,0.0%,80.3%
2,92,0.0%,80.4%
8,93,0.1%,80.5%
23,94,0.3%,80.7%
13,103,0.1%,80.9%
9,105,0.1%,81.0%
9,106,0.1%,81.1%
37,110,0.4%,81.5%
13,112,0.1%,81.6%
20,114,0.2%,81.8%
18,121,0.2%,82.0%
20,124,0.2%,82.3%
11,125,0.1%,82.4%
1,131,0.0%,82.4%
10,137,0.1%,82.5%
9,139,0.1%,82.6%
36,140,0.4%,83.0%
20,141,0.2%,83.2%
10,142,0.1%,83.3%
19,143,0.2%,83.6%
3,147,0.0%,83.6%
18,148,0.2%,83.8%
10,149,0.1%,83.9%
2,152,0.0%,83.9%
14,154,0.2%,84.1%
11,157,0.1%,84.2%
7,158,0.1%,84.3%
2,161,0.0%,84.3%
7,162,0.1%,84.4%
62,164,0.7%,85.1%
4,169,0.0%,85.1%
9,170,0.1%,85.2%
9,175,0.1%,85.3%
2,191,0.0%,85.3%
2,194,0.0%,85.4%
1,197,0.0%,85.4%
1,206,0.0%,85.4%
13,220,0.1%,85.5%
2,224,0.0%,85.5%
60,226,0.7%,86.2%
2,228,0.0%,86.2%
8,241,0.1%,86.3%
2,243,0.0%,86.3%
9,246,0.1%,86.4%
1,279,0.0%,86.5%
16,337,0.2%,86.6%
2,384,0.0%,86.7%
7,385,0.1%,86.7%
1,386,0.0%,86.8%
10,387,0.1%,86.9%
9,392,0.1%,87.0%
2,404,0.0%,87.0%
9,405,0.1%,87.1%
4,424,0.0%,87.1%
4,428,0.0%,87.2%
13,429,0.1%,87.3%
9,431,0.1%,87.4%
13,432,0.1%,87.6%
1,440,0.0%,87.6%
15,449,0.2%,87.7%
2,457,0.0%,87.8%
2,461,0.0%,87.8%
2,463,0.0%,87.8%
15,464,0.2%,88.0%
6,465,0.1%,88.0%
7,466,0.1%,88.1%
11,468,0.1%,88.2%
13,469,0.1%,88.4%
26,470,0.3%,88.7%
4,482,0.0%,88.7%
11,483,0.1%,88.8%
9,485,0.1%,88.9%
1,497,0.0%,89.0%
18,502,0.2%,89.2%
2,506,0.0%,89.2%
9,507,0.1%,89.3%
4,510,0.0%,89.3%
6,511,0.1%,89.4%
2,513,0.0%,89.4%
11,514,0.1%,89.5%
9,520,0.1%,89.6%
15,521,0.2%,89.8%
15,533,0.2%,90.0%
11,538,0.1%,90.1%
9,542,0.1%,90.2%
2,554,0.0%,90.2%
18,557,0.2%,90.4%
12,558,0.1%,90.6%
2,563,0.0%,90.6%
11,565,0.1%,90.7%
2,570,0.0%,90.7%
21,580,0.2%,91.0%
13,581,0.1%,91.1%
12,593,0.1%,91.2%
2,600,0.0%,91.3%
13,602,0.1%,91.4%
7,603,0.1%,91.5%
2,606,0.0%,91.5%
9,609,0.1%,91.6%
2,613,0.0%,91.6%
7,614,0.1%,91.7%
20,621,0.2%,91.9%
9,622,0.1%,92.0%
2,623,0.0%,92.0%
9,626,0.1%,92.1%
11,629,0.1%,92.3%
