precinct_tevs,contest_tevs,choice_tevs,tevs_counts_counted,tevs_counts_not_counted,tevs_tot_voteops,tevs_tot_overvotes,precinct_harts_mapped,contest_harts_mapped,choice_harts_mapped
000001,MEAS_Q,NO,281,351,632,0,1CS-1,MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE.,NO
000001,MEAS_Q,YES,262,370,632,0,1CS-1,MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE.,YES
000001,MEAS_R,NO,276,356,632,0,1CS-1,MEASURE R HUMBOLDT COUNTY FINANCE DEPARTMENT ELECTIVE OFFICE MEASURE.,NO
000001,MEAS_R,YES,263,369,632,0,1CS-1,MEASURE R HUMBOLDT COUNTY FINANCE DEPARTMENT ELECTIVE OFFICE MEASURE.,YES
000001,MEAS_S,NO,169,463,632,0,1CS-1,MEASURE S HUMBOLDT COUNTY COMMERCIAL MARIJUANA CULTIVATION MEASURE.,NO
000001,MEAS_S,YES,419,213,632,0,1CS-1,MEASURE S HUMBOLDT COUNTY COMMERCIAL MARIJUANA CULTIVATION MEASURE.,YES
000001,MEAS_U,NO,308,324,632,0,1CS-1,MEASURE U LOCAL TRANSPORTATION AUTHORITY RETAIL TRANSACTIONS AND USE TAX.,NO
000001,MEAS_U,YES,270,362,632,0,1CS-1,MEASURE U LOCAL TRANSPORTATION AUTHORITY RETAIL TRANSACTIONS AND USE TAX.,YES
000001,MEAS_V,NO,274,358,632,0,1CS-1,MEASURE V MOBILE HOME PARK SPACE RENT STABILIZATION.,NO
000001,MEAS_V,YES,301,331,632,0,1CS-1,MEASURE V MOBILE HOME PARK SPACE RENT STABILIZATION.,YES
000001,NO TITLE,Incorrect,632,0,632,0,1CS-1,,
000001,PRES,DONALD_J_TRUMP,221,411,632,0,1CS-1,PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP      and MICHAEL R. PENCE
000001,PRES,GARY_JOHNSON,29,603,632,0,1CS-1,PRESIDENT AND VICE PRESIDENT,GARY JOHNSON      and BILL WELD
