Precinct TEVS,Ballot Page,ballot Side,Ballot Batches,Contest TEVS,Choice TEVS,TEVS Voteops Marked,TEVS Total Voteops,TEVS Voteops not Marked,TEVS Over Votes,Precinct HART,Contest HART,Choice HART,HART Count,HART Ballots,Votes Counted TEVS Minus HART,Total Voteops TEVS Minus HART,ABS Votes Counted TEVS Minus HART,ABS Total Voteops TEVS Minus HART,Margin,Error Pct,Sort Key
000001,2,3,000 042 056 057 150 223 232 243,MEAS_Q,NO,280,632,352,1,~  1CS-1,MEASURE Q HUMBOLDT COUN,NO,281,630,-1,2,1,2,3886,   0.03%,1CS-1.MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE..NO
000001,2,3,000 042 056 057 150 223 232 243,MEAS_Q,YES,262,632,370,1,~  1CS-1,MEASURE Q HUMBOLDT COUN,YES,263,630,-1,2,1,2,3886,   0.03%,1CS-1.MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE..YES
000001,2,3,000 042 056 057 150 223 232 243,MEAS_R,NO,273,632,359,3,~  1CS-1,MEASURE R HUMBOLDT COUN,NO,274,630,-1,2,1,2,1729,   0.06%,1CS-1.MEASURE R HUMBOLDT COUNTY FINANCE DEPARTMENT ELECTIVE OFFICE MEASURE..NO
000001,2,3,000 042 056 057 150 223 232 243,MEAS_R,YES,260,632,372,3,~  1CS-1,MEASURE R HUMBOLDT COUN,YES,261,630,-1,2,1,2,1729,   0.06%,1CS-1.MEASURE R HUMBOLDT COUNTY FINANCE DEPARTMENT ELECTIVE OFFICE MEASURE..YES
000001,2,3,000 042 056 057 150 223 232 243,MEAS_S,NO,167,632,465,1,~  1CS-1,MEASURE S HUMBOLDT COUN,NO,168,630,-1,2,1,2,18018,   0.01%,1CS-1.MEASURE S HUMBOLDT COUNTY COMMERCIAL MARIJUANA CULTIVATION MEASURE..NO
000001,2,3,000 042 056 057 150 223 232 243,MEAS_S,YES,418,632,214,1,~  1CS-1,MEASURE S HUMBOLDT COUN,YES,419,630,-1,2,1,2,18018,   0.01%,1CS-1.MEASURE S HUMBOLDT COUNTY COMMERCIAL MARIJUANA CULTIVATION MEASURE..YES
000001,2,3,000 042 056 057 150 223 232 243,MEAS_U,NO,308,632,324,0,~  1CS-1,MEASURE U LOCAL TRANSPO,NO,308,630,0,2,0,2,1298,   0.00%,1CS-1.MEASURE U LOCAL TRANSPORTATION AUTHORITY RETAIL TRANSACTIONS AND USE TAX..NO
000001,2,3,000 042 056 057 150 223 232 243,MEAS_U,YES,270,632,362,0,~  1CS-1,MEASURE U LOCAL TRANSPO,YES,270,630,0,2,0,2,1298,   0.00%,1CS-1.MEASURE U LOCAL TRANSPORTATION AUTHORITY RETAIL TRANSACTIONS AND USE TAX..YES
000001,2,3,000 042 056 057 150 223 232 243,MEAS_V,NO,274,632,358,1,~  1CS-1,MEASURE V MOBILE HOME P,NO,274,630,0,2,0,2,5114,   0.00%,1CS-1.MEASURE V MOBILE HOME PARK SPACE RENT STABILIZATION..NO
000001,2,3,000 042 056 057 150 223 232 243,MEAS_V,YES,300,632,332,1,~  1CS-1,MEASURE V MOBILE HOME P,YES,301,630,-1,2,1,2,5114,   0.02%,1CS-1.MEASURE V MOBILE HOME PARK SPACE RENT STABILIZATION..YES
000001,1,1,000 042 056 149 150 223 232 243,PRES,DONALD_J_TRUMP,221,632,411,0,~  1CS-1,PRESIDENT AND VICE PRES,DONALD J. TRUMP      ,221,630,0,2,0,2,14827,   0.00%,1CS-1.PRESIDENT AND VICE PRESIDENT.DONALD J. TRUMP      and MICHAEL R. PENCE
000001,1,1,000 042 056 149 150 223 232 243,PRES,GARY_JOHNSON,29,632,603,0,~  1CS-1,PRESIDENT AND VICE PRES,GARY JOHNSON      and,29,630,0,2,0,2,14827,   0.00%,1CS-1.PRESIDENT AND VICE PRESIDENT.GARY JOHNSON      and BILL WELD
000001,1,1,000 042 056 149 150 223 232 243,PRES,GLORIA_ESTELA_LA_RIVA,3,632,629,0,~  1CS-1,PRESIDENT AND VICE PRES,GLORIA ESTELA LA RIVA,3,630,0,2,0,2,14827,   0.00%,1CS-1.PRESIDENT AND VICE PRESIDENT.GLORIA ESTELA LA RIVA      and DENNIS J. BANKS
000001,1,1,000 042 056 149 150 223 232 243,PRES,HILLARY_CLINTON,312,632,320,0,~  1CS-1,PRESIDENT AND VICE PRES,HILLARY CLINTON      ,310,630,2,2,2,2,14827,   0.01%,1CS-1.PRESIDENT AND VICE PRESIDENT.HILLARY CLINTON      and TIM KAINE
