Precinct TEVS,Ballot Page,ballot Side,Contest TEVS,Choice TEVS,TEVS Voteops Marked,TEVS Total Voteops,TEVS Voteops not Marked,TEVS Over Votes,Precinct HART,Contest HART,Choice HART,HART Count,HART Ballots,Votes Counted TEVS Minus HART,Total Voteops TEVS Minus HART,ABS Votes Counted TEVS Minus HART,ABS Total Voteops TEVS Minus HART,Margin,Error Pct,Sort Key
000001,2,3,MEAS_Q,NO,281,632,351,1,~  1CS-1,MEASURE Q HUMBOLDT COUN,NO,281,630,0,2,0,2,18,   0.00%,1CS-1.MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE..NO
000001,2,3,MEAS_Q,YES,263,632,369,1,~  1CS-1,MEASURE Q HUMBOLDT COUN,YES,263,630,0,2,0,2,18,   0.00%,1CS-1.MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE..YES
000001,2,3,MEAS_R,NO,276,632,356,3,~  1CS-1,MEASURE R HUMBOLDT COUN,NO,274,630,2,2,2,2,13,  15.38%,1CS-1.MEASURE R HUMBOLDT COUNTY FINANCE DEPARTMENT ELECTIVE OFFICE MEASURE..NO
000001,2,3,MEAS_R,YES,263,632,369,3,~  1CS-1,MEASURE R HUMBOLDT COUN,YES,261,630,2,2,2,2,13,  15.38%,1CS-1.MEASURE R HUMBOLDT COUNTY FINANCE DEPARTMENT ELECTIVE OFFICE MEASURE..YES
000001,2,3,MEAS_S,NO,168,632,464,1,~  1CS-1,MEASURE S HUMBOLDT COUN,NO,168,630,0,2,0,2,251,   0.00%,1CS-1.MEASURE S HUMBOLDT COUNTY COMMERCIAL MARIJUANA CULTIVATION MEASURE..NO
000001,2,3,MEAS_S,YES,419,632,213,1,~  1CS-1,MEASURE S HUMBOLDT COUN,YES,419,630,0,2,0,2,251,   0.00%,1CS-1.MEASURE S HUMBOLDT COUNTY COMMERCIAL MARIJUANA CULTIVATION MEASURE..YES
000001,2,3,MEAS_U,NO,308,632,324,0,~  1CS-1,MEASURE U LOCAL TRANSPO,NO,308,630,0,2,0,2,38,   0.00%,1CS-1.MEASURE U LOCAL TRANSPORTATION AUTHORITY RETAIL TRANSACTIONS AND USE TAX..NO
000001,2,3,MEAS_U,YES,270,632,362,0,~  1CS-1,MEASURE U LOCAL TRANSPO,YES,270,630,0,2,0,2,38,   0.00%,1CS-1.MEASURE U LOCAL TRANSPORTATION AUTHORITY RETAIL TRANSACTIONS AND USE TAX..YES
000001,2,3,MEAS_V,NO,275,632,357,1,~  1CS-1,MEASURE V MOBILE HOME P,NO,274,630,1,2,1,2,27,   3.70%,1CS-1.MEASURE V MOBILE HOME PARK SPACE RENT STABILIZATION..NO
000001,2,3,MEAS_V,YES,301,632,331,1,~  1CS-1,MEASURE V MOBILE HOME P,YES,301,630,0,2,0,2,27,   0.00%,1CS-1.MEASURE V MOBILE HOME PARK SPACE RENT STABILIZATION..YES
000001,1,1,PRES,DONALD_J_TRUMP,221,632,411,0,~  1CS-1,PRESIDENT AND VICE PRES,DONALD J. TRUMP      ,221,630,0,2,0,2,89,   0.00%,1CS-1.PRESIDENT AND VICE PRESIDENT.DONALD J. TRUMP      and MICHAEL R. PENCE
000001,1,1,PRES,GARY_JOHNSON,29,632,603,0,~  1CS-1,PRESIDENT AND VICE PRES,GARY JOHNSON      and,29,630,0,2,0,2,89,   0.00%,1CS-1.PRESIDENT AND VICE PRESIDENT.GARY JOHNSON      and BILL WELD
000001,1,1,PRES,GLORIAYESTELA_LA_RIVA,3,632,629,0,~  1CS-1,PRESIDENT AND VICE PRES,GLORIA ESTELA LA RIVA,3,630,0,2,0,2,89,   0.00%,1CS-1.PRESIDENT AND VICE PRESIDENT.GLORIA ESTELA LA RIVA      and DENNIS J. BANKS
000001,1,1,PRES,HILLARY_CLINTON,312,632,320,0,~  1CS-1,PRESIDENT AND VICE PRES,HILLARY CLINTON      ,310,630,2,2,2,2,89,   2.25%,1CS-1.PRESIDENT AND VICE PRESIDENT.HILLARY CLINTON      and TIM KAINE
000001,1,1,PRES,JILL_STEIN,30,632,602,0,~  1CS-1,PRESIDENT AND VICE PRES,JILL STEIN      and A,30,630,0,2,0,2,89,   0.00%,1CS-1.PRESIDENT AND VICE PRESIDENT.JILL STEIN      and AJAMU BARAKA
000001,1,1,PRES,Write_in,27,632,605,0,~  1CS-1,PRESIDENT AND VICE PRES,Write_in,27,630,0,2,0,2,89,   0.00%,1CS-1.PRESIDENT AND VICE PRESIDENT.Write_in
000001,1,1,PROP_51,NO,314,632,318,2,~  1CS-1,PROPOSITION 51 SCHOOL B,NO,313,630,1,2,1,2,34,   2.94%,1CS-1.PROPOSITION 51 SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE.NO
000001,1,1,PROP_51,YES,281,632,351,2,~  1CS-1,PROPOSITION 51 SCHOOL B,YES,279,630,2,2,2,2,34,   5.88%,1CS-1.PROPOSITION 51 SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE.YES
000001,1,1,PROP_52,NO,209,632,423,0,~  1CS-1,PROPOSITION 52 MEDI-CAL,NO,209,630,0,2,0,2,171,   0.00%,1CS-1.PROPOSITION 52 MEDI-CAL HOSPITAL FEE PROGRAM. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE..NO
000001,1,1,PROP_52,YES,380,632,252,0,~  1CS-1,PROPOSITION 52 MEDI-CAL,YES,380,630,0,2,0,2,171,   0.00%,1CS-1.PROPOSITION 52 MEDI-CAL HOSPITAL FEE PROGRAM. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE..YES
000001,1,1,PROP_53,NO,315,632,317,3,~  1CS-1,PROPOSITION 53 REVENUE ,NO,312,630,3,2,3,2,50,   6.00%,1CS-1.PROPOSITION 53 REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT..NO
000001,1,1,PROP_53,YES,264,632,368,3,~  1CS-1,PROPOSITION 53 REVENUE ,YES,262,630,2,2,2,2,50,   4.00%,1CS-1.PROPOSITION 53 REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT..YES
000001,1,1,PROP_54,NO,256,632,376,1,~  1CS-1,PROPOSITION 54 LEGISLAT,NO,255,630,1,2,1,2,63,   1.59%,1CS-1.PROPOSITION 54 LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND.NO
000001,1,1,PROP_54,YES,319,632,313,1,~  1CS-1,PROPOSITION 54 LEGISLAT,YES,318,630,1,2,1,2,63,   1.59%,1CS-1.PROPOSITION 54 LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND.YES
000001,1,2,PROP_55,NO,211,633,422,1,~  1CS-1,PROPOSITION 55 TAX EXTE,NO,210,630,1,3,1,3,171,   0.58%,1CS-1.PROPOSITION 55 TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT..NO
000001,1,2,PROP_55,YES,383,633,250,1,~  1CS-1,PROPOSITION 55 TAX EXTE,YES,381,630,2,3,2,3,171,   1.17%,1CS-1.PROPOSITION 55 TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT..YES
000001,1,2,PROP_56,NO,250,633,383,0,~  1CS-1,PROPOSITION 56 CIGARETT,NO,249,630,1,3,1,3,105,   0.95%,"1CS-1.PROPOSITION 56 CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND.NO"
000001,1,2,PROP_56,YES,356,633,277,0,~  1CS-1,PROPOSITION 56 CIGARETT,YES,354,630,2,3,2,3,105,   1.90%,"1CS-1.PROPOSITION 56 CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND.YES"
000001,1,2,PROP_57,NO,208,633,425,1,~  1CS-1,PROPOSITION 57 CRIMINAL,NO,205,630,3,3,3,3,178,   1.69%,1CS-1.PROPOSITION 57 CRIMINAL SENTENCES. PAROLE. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE.NO
000001,1,2,PROP_57,YES,383,633,250,1,~  1CS-1,PROPOSITION 57 CRIMINAL,YES,383,630,0,3,0,3,178,   0.00%,1CS-1.PROPOSITION 57 CRIMINAL SENTENCES. PAROLE. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE.YES
000001,1,2,PROP_58,NO,141,633,492,2,~  1CS-1,PROPOSITION 58 ENGLISH ,NO,139,630,2,3,2,3,302,   0.66%,1CS-1.PROPOSITION 58 ENGLISH PROFICIENCY. MULTILINGUAL EDUCATION. INITIATIVE STATUTE..NO
000001,1,2,PROP_58,YES,446,633,187,2,~  1CS-1,PROPOSITION 58 ENGLISH ,YES,441,630,5,3,5,3,302,   1.66%,1CS-1.PROPOSITION 58 ENGLISH PROFICIENCY. MULTILINGUAL EDUCATION. INITIATIVE STATUTE..YES
000001,1,2,PROP_59,NO,244,633,389,1,~  1CS-1,PROPOSITION 59 CORPORAT,NO,242,630,2,3,2,3,67,   2.99%,1CS-1.PROPOSITION 59 CORPORATIONS. POLITICAL SPENDING. FEDERAL CONSTITUTIONAL PROTECTIONS..NO
000001,1,2,PROP_59,YES,311,633,322,1,~  1CS-1,PROPOSITION 59 CORPORAT,YES,309,630,2,3,2,3,67,   2.99%,1CS-1.PROPOSITION 59 CORPORATIONS. POLITICAL SPENDING. FEDERAL CONSTITUTIONAL PROTECTIONS..YES
000001,1,2,PROP_60,NO,365,633,268,2,~  1CS-1,PROPOSITION 60 ADULT FI,NO,363,630,2,3,2,3,154,   1.30%,1CS-1.PROPOSITION 60 ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE..NO
000001,1,2,PROP_60,YES,211,633,422,2,~  1CS-1,PROPOSITION 60 ADULT FI,YES,209,630,2,3,2,3,154,   1.30%,1CS-1.PROPOSITION 60 ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE..YES
000001,1,2,PROP_61,NO,274,633,359,1,~  1CS-1,PROPOSITION 61 STATE PR,NO,273,630,1,3,1,3,18,   5.56%,1CS-1.PROPOSITION 61 STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE..NO
000001,1,2,PROP_61,YES,293,633,340,1,~  1CS-1,PROPOSITION 61 STATE PR,YES,291,630,2,3,2,3,18,  11.11%,1CS-1.PROPOSITION 61 STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE..YES
000001,1,2,PROP_62,NO,327,633,306,2,~  1CS-1,PROPOSITION 62 DEATH PE,NO,325,630,2,3,2,3,66,   3.03%,1CS-1.PROPOSITION 62 DEATH PENALTY. INITIATIVE STATUTE..NO
000001,1,2,PROP_62,YES,263,633,370,2,~  1CS-1,PROPOSITION 62 DEATH PE,YES,259,630,4,3,4,3,66,   6.06%,1CS-1.PROPOSITION 62 DEATH PENALTY. INITIATIVE STATUTE..YES
000001,1,2,PROP_63,NO,281,632,351,3,~  1CS-1,PROPOSITION 63 FIREARMS,NO,280,630,1,2,1,2,34,   2.94%,1CS-1.PROPOSITION 63 FIREARMS. AMMUNITION SALES. INITIATIVE STATUTE..NO
000001,1,2,PROP_63,YES,319,632,313,3,~  1CS-1,PROPOSITION 63 FIREARMS,YES,314,630,5,2,5,2,34,  14.71%,1CS-1.PROPOSITION 63 FIREARMS. AMMUNITION SALES. INITIATIVE STATUTE..YES
000001,2,3,PROP_64,NO,256,632,376,3,~  1CS-1,PROPOSITION 64 MARIJUAN,NO,253,630,3,2,3,2,101,   2.97%,1CS-1.PROPOSITION 64 MARIJUANA LEGALIZATION. INITIATIVE STATUTE..NO
000001,2,3,PROP_64,YES,356,632,276,3,~  1CS-1,PROPOSITION 64 MARIJUAN,YES,354,630,2,2,2,2,101,   1.98%,1CS-1.PROPOSITION 64 MARIJUANA LEGALIZATION. INITIATIVE STATUTE..YES
000001,2,3,PROP_65,NO,359,632,273,1,~  1CS-1,PROPOSITION 65 CARRYOUT,NO,360,630,-1,2,1,2,125,   0.80%,1CS-1.PROPOSITION 65 CARRYOUT BAGS. CHARGES. INITIATIVE STATUTE..NO
000001,2,3,PROP_65,YES,236,632,396,1,~  1CS-1,PROPOSITION 65 CARRYOUT,YES,235,630,1,2,1,2,125,   0.80%,1CS-1.PROPOSITION 65 CARRYOUT BAGS. CHARGES. INITIATIVE STATUTE..YES
000001,2,3,PROP_66,NO,318,632,314,2,~  1CS-1,PROPOSITION 66 DEATH PE,NO,316,630,2,2,2,2,58,   3.45%,1CS-1.PROPOSITION 66 DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE..NO
000001,2,3,PROP_66,YES,259,632,373,2,~  1CS-1,PROPOSITION 66 DEATH PE,YES,258,630,1,2,1,2,58,   1.72%,1CS-1.PROPOSITION 66 DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE..YES
000001,2,3,PROP_67,NO,256,632,376,1,~  1CS-1,PROPOSITION 67 BAN ON S,NO,255,630,1,2,1,2,91,   1.10%,1CS-1.PROPOSITION 67 BAN ON SINGLE-USE PLASTIC BAGS. REFERENDUM..NO
000001,2,3,PROP_67,YES,346,632,286,1,~  1CS-1,PROPOSITION 67 BAN ON S,YES,346,630,0,2,0,2,91,   0.00%,1CS-1.PROPOSITION 67 BAN ON SINGLE-USE PLASTIC BAGS. REFERENDUM..YES
000001,1,1,STATEASS2,JIM_WOOD,354,632,278,1,~  1CS-1,"STATE ASSEMBLY, DISTRIC",JIM WOOD,352,630,2,2,2,2,170,   1.18%,"1CS-1.STATE ASSEMBLY, DISTRICT 2.JIM WOOD"
000001,1,1,STATEASS2,KEN_ANTON,182,632,450,1,~  1CS-1,"STATE ASSEMBLY, DISTRIC",KEN ANTON,182,630,0,2,0,2,170,   0.00%,"1CS-1.STATE ASSEMBLY, DISTRICT 2.KEN ANTON"
000001,1,1,USREP,DALE_K_MENSING,185,632,447,0,~  1CS-1,US REPRESENTATIVE IN CO,DALE K. MENSING,185,630,0,2,0,2,217,   0.00%,"1CS-1.US REPRESENTATIVE IN CONGRESS, DISTRICT 2.DALE K. MENSING"
000001,1,1,USREP,JARED_W_HUFFMAN,404,632,228,0,~  1CS-1,US REPRESENTATIVE IN CO,JARED W. HUFFMAN,402,630,2,2,2,2,217,   0.92%,"1CS-1.US REPRESENTATIVE IN CONGRESS, DISTRICT 2.JARED W. HUFFMAN"
000001,1,1,USSEN,KAMALA_D_HARRIS,326,632,306,3,~  1CS-1,US SENATOR,KAMALA D. HARRIS,323,630,3,2,3,2,162,   1.85%,1CS-1.US SENATOR.KAMALA D. HARRIS
000001,1,1,USSEN,LORETTA_L_SANCHEZ,164,632,468,3,~  1CS-1,US SENATOR,LORETTA L. SANCHEZ,161,630,3,2,3,2,162,   1.85%,1CS-1.US SENATOR.LORETTA L. SANCHEZ
000002,2,3,MEAS_Q,NO,320,661,341,0,~  1CS-2,MEASURE Q HUMBOLDT COUN,NO,320,661,0,0,0,0,62,   0.00%,1CS-2.MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE..NO
