  tevs_ballots_precinct_id ,hart_precinct_name 
_media_OTHER_20161119_unproc_000_000000_jpg,1CS-E
_media_OTHER_20161119_unproc_000_000001_jpg,1CS-E
_media_OTHER_20161119_unproc_000_000002_jpg,1CS-E
_media_OTHER_20161119_unproc_000_000276_jpg,1CS-2
_media_OTHER_20161119_unproc_000_000277_jpg,1CS-2
_media_OTHER_20161119_unproc_000_000278_jpg,1CS-2
_media_OTHER_20161119_unproc_000_000532_jpg,1CS-1
_media_OTHER_20161119_unproc_000_000533_jpg,1CS-1
_media_OTHER_20161119_unproc_000_000534_jpg,1CS-1
_media_OTHER_20161119_unproc_000_000804_jpg,1E-43
_media_OTHER_20161119_unproc_000_000805_jpg,1E-43
_media_OTHER_20161119_unproc_000_000806_jpg,1E-43
_media_OTHER_20161119_unproc_000_000807_jpg,1E-43
_media_OTHER_20161119_unproc_001_001212_jpg,1E-36
_media_OTHER_20161119_unproc_001_001213_jpg,1E-36
_media_OTHER_20161119_unproc_001_001214_jpg,1E-36
_media_OTHER_20161119_unproc_001_001215_jpg,1E-36
_media_OTHER_20161119_unproc_001_001548_jpg,1E-36
_media_OTHER_20161119_unproc_001_001549_jpg,???
_media_OTHER_20161119_unproc_001_001550_jpg,???
_media_OTHER_20161119_unproc_001_001856_jpg,???
_media_OTHER_20161119_unproc_001_001857_jpg,???
_media_OTHER_20161119_unproc_001_001858_jpg,???
_media_OTHER_20161119_unproc_002_002296_jpg,1E-55
_media_OTHER_20161119_unproc_002_002297_jpg,1E-55
_media_OTHER_20161119_unproc_002_002298_jpg,1E-55
_media_OTHER_20161119_unproc_002_002299_jpg,1E-55
_media_OTHER_20161119_unproc_002_002544_jpg,1E-45
_media_OTHER_20161119_unproc_002_002545_jpg,1E-45
_media_OTHER_20161119_unproc_002_002546_jpg,1E-45
_media_OTHER_20161119_unproc_002_002547_jpg,1E-45
_media_OTHER_20161119_unproc_002_002948_jpg,1LU
_media_OTHER_20161119_unproc_002_002949_jpg,1LU
_media_OTHER_20161119_unproc_002_002950_jpg,1LU
_media_OTHER_20161119_unproc_003_003136_jpg,1FS
_media_OTHER_20161119_unproc_003_003137_jpg,1FS
_media_OTHER_20161119_unproc_003_003138_jpg,1FS
_media_OTHER_20161119_unproc_003_003424_jpg,1F-1
_media_OTHER_20161119_unproc_003_003425_jpg,1F-1
_media_OTHER_20161119_unproc_003_003426_jpg,1F-1
_media_OTHER_20161119_unproc_003_003427_jpg,1F-1
_media_OTHER_20161119_unproc_003_003872_jpg,1SB-4
_media_OTHER_20161119_unproc_003_003873_jpg,1SB-4
_media_OTHER_20161119_unproc_003_003874_jpg,1SB-4
_media_OTHER_20161119_unproc_004_004484_jpg,1SB-1
_media_OTHER_20161119_unproc_004_004485_jpg,1SB-1
_media_OTHER_20161119_unproc_004_004486_jpg,1SB-1
_media_OTHER_20161119_unproc_005_005100_jpg,1SU
_media_OTHER_20161119_unproc_005_005101_jpg,1SU
_media_OTHER_20161119_unproc_005_005102_jpg,1SU
_media_OTHER_20161119_unproc_005_005224_jpg,1SB10
_media_OTHER_20161119_unproc_005_005225_jpg,1SB10
_media_OTHER_20161119_unproc_005_005226_jpg,1SB10
_media_OTHER_20161119_unproc_005_005580_jpg,2BV-1
_media_OTHER_20161119_unproc_005_005581_jpg,2BV-1
_media_OTHER_20161119_unproc_005_005582_jpg,2BV-1
_media_OTHER_20161119_unproc_005_005680_jpg,2CU
_media_OTHER_20161119_unproc_005_005681_jpg,2CU
_media_OTHER_20161119_unproc_005_005682_jpg,2CU
_media_OTHER_20161119_unproc_005_005941_jpg,2F-2
_media_OTHER_20161119_unproc_005_005942_jpg,2F-2
_media_OTHER_20161119_unproc_005_005943_jpg,2F-2
_media_OTHER_20161119_unproc_005_005944_jpg,2F-2
_media_OTHER_20161119_unproc_006_006028_jpg,2R-2
_media_OTHER_20161119_unproc_006_006029_jpg,2R-2
_media_OTHER_20161119_unproc_006_006030_jpg,2R-2
_media_OTHER_20161119_unproc_006_006031_jpg,2R-2
_media_OTHER_20161119_unproc_006_006444_jpg,2F-R2
_media_OTHER_20161119_unproc_006_006445_jpg,2F-R2
_media_OTHER_20161119_unproc_006_006446_jpg,2F-R2
_media_OTHER_20161119_unproc_006_006447_jpg,2F-R2
_media_OTHER_20161119_unproc_006_006880_jpg,2F-3
_media_OTHER_20161119_unproc_006_006881_jpg,2F-3
_media_OTHER_20161119_unproc_006_006882_jpg,2F-3
_media_OTHER_20161119_unproc_006_006883_jpg,2F-3
_media_OTHER_20161119_unproc_007_007272_jpg,2F-4
_media_OTHER_20161119_unproc_007_007273_jpg,2F-4
